unweighted_fairness,weighted_fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues,n_approvals_per_voter
0.921,0.785,10000,10,1.5,approval,0.0,5,2,2
0.864,0.792,10000,10,1.5,plurality,0.0,5,2,2
0.729,0.713,10000,10,1.5,majority,0.0,5,2,2
0.993,0.799,10000,10,1.5,approval,0.0,5,2,2
0.925,0.755,10000,10,1.5,plurality,0.0,5,2,2
0.884,0.809,10000,10,1.5,majority,0.0,5,2,2
0.911,0.778,10000,10,1.5,approval,0.0,5,2,2
0.758,0.794,10000,10,1.5,plurality,0.0,5,2,2
0.708,0.727,10000,10,1.5,majority,0.0,5,2,2
1.123,0.952,10000,10,1.5,approval,0.0,5,2,2
0.93,0.754,10000,10,1.5,plurality,0.0,5,2,2
0.695,0.705,10000,10,1.5,majority,0.0,5,2,2
0.91,0.79,10000,10,1.5,approval,0.0,5,2,2
0.865,0.817,10000,10,1.5,plurality,0.0,5,2,2
0.942,0.79,10000,10,1.5,majority,0.0,5,2,2
1.07,0.888,10000,10,1.5,approval,0.0,5,2,2
1.122,0.88,10000,10,1.5,plurality,0.0,5,2,2
0.535,0.626,10000,10,1.5,majority,0.0,5,2,2
0.973,0.812,10000,10,1.5,approval,0.0,5,2,2
0.729,0.744,10000,10,1.5,plurality,0.0,5,2,2
0.815,0.805,10000,10,1.5,majority,0.0,5,2,2
0.9,0.77,10000,10,1.5,approval,0.0,5,2,2
0.742,0.781,10000,10,1.5,plurality,0.0,5,2,2
0.709,0.762,10000,10,1.5,majority,0.0,5,2,2
0.818,0.808,10000,10,1.5,approval,0.0,5,2,2
0.945,0.771,10000,10,1.5,plurality,0.0,5,2,2
0.949,0.857,10000,10,1.5,majority,0.0,5,2,2
0.874,0.756,10000,10,1.5,approval,0.0,5,2,2
0.855,0.757,10000,10,1.5,plurality,0.0,5,2,2
1.05,0.88,10000,10,1.5,majority,0.0,5,2,2
1.111,0.821,10000,10,1.5,approval,0.0,5,2,2
0.797,0.734,10000,10,1.5,plurality,0.0,5,2,2
1.094,1.019,10000,10,1.5,majority,0.0,5,2,2
0.761,0.756,10000,10,1.5,approval,0.0,5,2,2
0.959,0.828,10000,10,1.5,plurality,0.0,5,2,2
0.576,0.65,10000,10,1.5,majority,0.0,5,2,2
0.755,0.737,10000,10,1.5,approval,0.0,5,2,2
0.774,0.746,10000,10,1.5,plurality,0.0,5,2,2
0.673,0.73,10000,10,1.5,majority,0.0,5,2,2
0.944,0.796,10000,10,1.5,approval,0.0,5,2,2
0.822,0.801,10000,10,1.5,plurality,0.0,5,2,2
0.764,0.695,10000,10,1.5,majority,0.0,5,2,2
0.903,0.776,10000,10,1.5,approval,0.0,5,2,2
1.044,0.889,10000,10,1.5,plurality,0.0,5,2,2
0.854,0.825,10000,10,1.5,majority,0.0,5,2,2
1.024,0.854,10000,10,1.5,approval,0.0,5,2,2
0.707,0.752,10000,10,1.5,plurality,0.0,5,2,2
0.776,0.726,10000,10,1.5,majority,0.0,5,2,2
0.941,0.816,10000,10,1.5,approval,0.0,5,2,2
1.004,0.863,10000,10,1.5,plurality,0.0,5,2,2
0.876,0.909,10000,10,1.5,majority,0.0,5,2,2
0.872,0.762,10000,10,1.5,approval,0.0,5,2,2
0.825,0.778,10000,10,1.5,plurality,0.0,5,2,2
0.695,0.772,10000,10,1.5,majority,0.0,5,2,2
0.875,0.783,10000,10,1.5,approval,0.0,5,2,2
0.767,0.754,10000,10,1.5,plurality,0.0,5,2,2
0.681,0.754,10000,10,1.5,majority,0.0,5,2,2
0.783,0.727,10000,10,1.5,approval,0.0,5,2,2
0.666,0.773,10000,10,1.5,plurality,0.0,5,2,2
0.961,0.82,10000,10,1.5,majority,0.0,5,2,2
1.015,0.813,10000,10,1.5,approval,0.0,5,2,2
0.976,0.846,10000,10,1.5,plurality,0.0,5,2,2
0.86,0.807,10000,10,1.5,majority,0.0,5,2,2
0.898,0.75,10000,10,1.5,approval,0.0,5,2,2
0.906,0.867,10000,10,1.5,plurality,0.0,5,2,2
0.661,0.729,10000,10,1.5,majority,0.0,5,2,2
1.027,0.835,10000,10,1.5,approval,0.0,5,2,2
0.728,0.762,10000,10,1.5,plurality,0.0,5,2,2
0.918,0.78,10000,10,1.5,majority,0.0,5,2,2
0.827,0.754,10000,10,1.5,approval,0.0,5,2,2
0.678,0.753,10000,10,1.5,plurality,0.0,5,2,2
0.702,0.716,10000,10,1.5,majority,0.0,5,2,2
0.973,0.8,10000,10,1.5,approval,0.0,5,2,2
0.889,0.763,10000,10,1.5,plurality,0.0,5,2,2
0.759,0.739,10000,10,1.5,majority,0.0,5,2,2
0.796,0.746,10000,10,1.5,approval,0.0,5,2,2
1.019,0.814,10000,10,1.5,plurality,0.0,5,2,2
0.743,0.746,10000,10,1.5,majority,0.0,5,2,2
0.849,0.752,10000,10,1.5,approval,0.0,5,2,2
0.839,0.739,10000,10,1.5,plurality,0.0,5,2,2
0.817,0.78,10000,10,1.5,majority,0.0,5,2,2
0.797,0.772,10000,10,1.5,approval,0.0,5,2,2
0.863,0.751,10000,10,1.5,plurality,0.0,5,2,2
0.599,0.641,10000,10,1.5,majority,0.0,5,2,2
1.14,0.974,10000,10,1.5,approval,0.0,5,2,2
0.88,0.925,10000,10,1.5,plurality,0.0,5,2,2
0.664,0.651,10000,10,1.5,majority,0.0,5,2,2
1.092,0.873,10000,10,1.5,approval,0.0,5,2,2
0.796,0.735,10000,10,1.5,plurality,0.0,5,2,2
0.643,0.71,10000,10,1.5,majority,0.0,5,2,2
0.866,0.783,10000,10,1.5,approval,0.0,5,2,2
0.686,0.753,10000,10,1.5,plurality,0.0,5,2,2
0.546,0.615,10000,10,1.5,majority,0.0,5,2,2
0.713,0.751,10000,10,1.5,approval,0.0,5,2,2
0.954,0.846,10000,10,1.5,plurality,0.0,5,2,2
0.593,0.66,10000,10,1.5,majority,0.0,5,2,2
0.882,0.752,10000,10,1.5,approval,0.0,5,2,2
0.761,0.748,10000,10,1.5,plurality,0.0,5,2,2
0.728,0.72,10000,10,1.5,majority,0.0,5,2,2
0.805,0.779,10000,10,1.5,approval,0.0,5,2,2
