,fairness,electorate_size,electoral_system,issues
923,0.94,10000,majority,22
924,0.985,10000,majority,2
925,0.947,10000,majority,12
926,1.009,10000,majority,22
927,0.808,10000,majority,2
928,1.048,10000,majority,12
929,1.055,10000,majority,22
930,1.147,10000,majority,2
931,0.96,10000,majority,12
932,0.958,10000,majority,22
933,1.089,10000,majority,2
934,0.943,10000,majority,12
935,1.118,10000,majority,22
936,1.549,10000,majority,2
937,0.915,10000,majority,12
938,1.022,10000,majority,22
939,1.092,10000,majority,2
940,1.021,10000,majority,12
941,1.108,10000,majority,22
942,0.896,10000,majority,2
943,0.937,10000,majority,12
944,0.969,10000,majority,22
945,1.261,10000,plurality,2
946,0.933,10000,plurality,12
947,0.983,10000,plurality,22
948,1.005,10000,plurality,2
949,1.043,10000,plurality,12
950,1.106,10000,plurality,22
951,1.062,10000,plurality,2
952,1.003,10000,plurality,12
953,0.824,10000,plurality,22
954,0.708,10000,plurality,2
955,0.992,10000,plurality,12
956,0.938,10000,plurality,22
957,1.01,10000,plurality,2
958,0.906,10000,plurality,12
959,0.968,10000,plurality,22
